,sentence_id,words,labels,ner_tags
0,0,tan,O,0
1,0,woon,O,0
2,0,yann,O,0
3,11,book,B-ORG,1
4,11,tak,O,0
5,11,taman,B-ORG,1
6,11,daya,I-ORG,2
7,11,sdn,I-ORG,2
8,11,bhd,I-ORG,2
9,20,b94,O,0
10,20,7w,O,0
11,21,no5,O,0
12,21,5557,B-ADD,3
13,21,59,I-ADD,4
14,21,jalan,I-ADD,4
15,21,sagu,I-ADD,4
16,21,18,I-ADD,4
17,22,81100,I-ADD,4
18,22,bahru,I-ADD,4
19,23,lam,O,0
20,23,mcu,O,0
21,24,document,O,0
22,24,ho,O,0
23,24,tdo1167104,O,0
24,1,date,O,0
25,1,25122018,B-TIM,5
26,1,81339,O,0
27,1,pm,O,0
28,2,cashier,O,0
29,2,manis,O,0
30,3,member,O,0
31,4,cash,O,0
32,4,bill,O,0
33,5,codedesc,O,0
34,5,price,O,0
35,5,disc,O,0
36,5,amouit,O,0
37,6,quy,O,0
38,7,9556939040118,O,0
39,7,kf,O,0
40,7,modelling,O,0
41,7,clay,O,0
42,7,kiddy,O,0
43,7,fish,O,0
44,8,1pc,O,0
45,8,600,O,0
46,9,total,O,0
47,9,900,B-TOT,7
48,10,rour,O,0
49,10,ding,O,0
50,10,adjustment,O,0
51,10,000,O,0
52,12,round,O,0
53,12,d,O,0
54,12,total,O,0
55,12,rm,O,0
56,13,960,O,0
57,14,cash,O,0
58,15,change,O,0
59,16,goods,O,0
60,16,sold,O,0
61,16,are,O,0
62,16,not,O,0
63,16,returnar,O,0
64,17,exchangeable,O,0
65,18,thank,O,0
66,18,you,O,0
67,19,please,O,0
68,19,come,O,0
69,19,agaty,O,0
70,19,t,O,0
71,25,tan,O,0
72,25,woon,O,0
73,25,yann,O,0
74,36,indah,B-ORG,1
75,36,gift,I-ORG,2
76,36,home,I-ORG,2
77,36,beco,O,0
78,41,27,B-ADD,3
79,41,jalan,I-ADD,4
80,41,dedap,I-ADD,4
81,41,13,I-ADD,4
82,42,tanan,O,0
83,42,jaya,B-ADD,3
84,43,81100,I-ADD,4
85,43,bahru,I-ADD,4
86,44,tel073507405,O,0
87,44,fax073558160,O,0
88,45,receipt,O,0
89,46,19102018,B-TIM,5
90,46,204959,O,0
91,46,01,O,0
92,47,cashier,O,0
93,47,cn,O,0
94,47,locationsp,O,0
95,47,05,O,0
96,47,0531,O,0
97,26,mb,O,0
98,26,4026588,O,0
99,27,room,O,0
100,27,no,O,0
101,27,of,O,0
102,27,050100025279,O,0
103,28,desciten,O,0
104,28,gty,O,0
105,28,price,O,0
106,28,amtrh,O,0
107,29,stprivilege,O,0
108,29,cardgd,O,0
109,29,indah,B-ORG,1
110,30,88888,O,0
111,30,1,O,0
112,31,gftable,O,0
113,31,lampstitch,O,0
114,31,i,O,0
115,32,62483,O,0
116,32,1,O,0
117,33,nisc,O,0
118,33,1000,O,0
119,34,htotal,O,0
120,34,qty,O,0
121,34,2,O,0
122,35,total,O,0
123,35,aht,O,0
124,37,rounding,O,0
125,37,adj,O,0
126,38,thank,O,0
127,38,you,O,0
128,38,please,O,0
129,38,come,O,0
130,38,again,O,0
131,39,goods,O,0
132,39,sold,O,0
133,39,are,O,0
134,39,not,O,0
135,39,retui,O,0
136,40,healing,O,0
137,40,in,O,0
138,40,wholesale,O,0
139,40,and,O,0
140,40,fi,O,0
141,48,tan,O,0
142,48,woon,O,0
143,48,yann,O,0
144,59,mr,B-ORG,1
145,59,o1,O,0
146,59,johor,B-ORG,1
147,59,sdn,I-ORG,2
148,59,bhd,I-ORG,2
149,70,coreg,O,0
150,70,933109x,O,0
151,74,lot,B-ADD,3
152,74,1851a,I-ADD,4
153,74,1851b,I-ADD,4
154,74,jalan,I-ADD,4
155,74,kpb,I-ADD,4
156,74,6,I-ADD,4
157,75,kawasan,I-ADD,4
158,75,perindustrian,I-ADD,4
159,75,balakong,I-ADD,4
160,76,43300,I-ADD,4
161,76,seri,I-ADD,4
162,76,kembangan,I-ADD,4
163,76,selangor,I-ADD,4
164,77,mr,I-ADD,4
165,77,diy,I-ADD,4
166,77,tesco,I-ADD,4
167,77,terbau,I-ADD,4
168,78,invoice,O,0
169,79,chopping,O,0
170,79,boaro,O,0
171,79,355x255cm,O,0
172,79,803m,O,0
173,49,eziohdos,O,0
174,49,24,O,0
175,50,8970669,O,0
176,50,1x,O,0
177,51,air,O,0
178,51,pressure,O,0
179,51,sprayer,O,0
180,51,sx751,O,0
181,51,15l,O,0
182,52,hco37,O,0
183,52,15,O,0
184,53,9066468,O,0
185,54,waxco,O,0
186,54,windshiled,O,0
187,54,cleaner,O,0
188,54,120ml,O,0
189,55,wai43a,O,0
190,55,48,O,0
191,56,8557031100236,O,0
